INITIAL DISTRIBUTION	MB
BIN SIZE	0.179382
T_SIGN	BIN	VMIN	VMAX	AVE	PROG_AVE_POFV	ERROR
1	28	5.20207	5.38145	0	0.188767	0.0785784
1	29	5.38145	5.56083	0	0.0882667	0.0416683

1	0	0.179382	0.358763	0.3355	0.349344	0.0496167
1	1	0.358763	0.538145	1.0685	0.818156	0.0753912
1	2	0.538145	0.717527	2.3225	1.82006	0.209136
1	3	0.717527	0.896908	3.5775	2.62153	0.211446
1	4	0.896908	1.07629	4.9325	4.10303	0.300032
1	5	1.07629	1.25567	5.1705	4.79666	0.334737
1	6	1.25567	1.43505	3.567	6.38991	0.374288
1	7	1.43505	1.61443	4.4245	6.64641	0.287994
1	8	1.61443	1.79382	8.4335	7.27537	0.277441
1	9	1.79382	1.9732	11.448	9.00209	0.283207
1	10	1.9732	2.15258	10.8245	8.77088	0.291516
1	11	2.15258	2.33196	8.1595	7.79819	0.277561
1	12	2.33196	2.51134	3.957	7.7485	0.387102
1	13	2.51134	2.69072	6.1	6.48566	0.319894
1	14	2.69072	2.87011	3.988	5.94772	0.279619
1	15	2.87011	3.04949	5.808	5.43734	0.258854
1	16	3.04949	3.22887	6.5995	4.88009	0.248117
1	17	3.22887	3.40825	3.5595	4.459	0.230096
1	18	3.40825	3.58763	3.139	3.26428	0.144614
1	19	3.58763	3.76701	2.162	2.41306	0.136466
1	20	3.76701	3.9464	2.254	2.37878	0.136523
1	21	3.9464	4.12578	2.292	1.59541	0.170128
1	22	4.12578	4.30516	1.344	0.891594	0.127906
1	23	4.30516	4.48454	0.825	0.69875	0.113086
1	24	4.48454	4.66392	0.3105	0.339313	0.0669665
1	25	4.66392	4.8433	1.073	0.230188	0.0702954
1	26	4.8433	5.02269	0.184	0.146031	0.0393739
1	27	5.02269	5.20207	0.0515	0.19475	0.0638989
