BIN SIZE	0.0256496
BIN	DISTANCE	AVE_GOFR
92	2.38542	0.977577
93	2.41107	0.93489
94	2.43672	0.910924
95	2.46237	0.901541
96	2.48802	0.885748
97	2.51366	0.881165
98	2.53931	0.880032
99	2.56496	0.897186

0	0.0256496	0
1	0.0512993	0
2	0.0769489	0
3	0.102599	0
4	0.128248	0
5	0.153898	0
6	0.179547	0
7	0.205197	0
8	0.230847	0
9	0.256496	0
10	0.282146	0
11	0.307796	0
12	0.333445	0
13	0.359095	0
14	0.384745	0
15	0.410394	0
16	0.436044	0
17	0.461694	0
18	0.487343	0
19	0.512993	0
20	0.538642	0
21	0.564292	0
22	0.589942	0
23	0.615591	0
24	0.641241	0
25	0.666891	0
26	0.69254	0
27	0.71819	0
28	0.74384	0
29	0.769489	0
30	0.795139	0
31	0.820788	0
32	0.846438	0
33	0.872088	0
34	0.897737	0.0018341
35	0.923387	0.0287984
36	0.949037	0.186885
37	0.974686	0.561116
38	1.00034	1.239
39	1.02599	1.8302
40	1.05164	2.26846
41	1.07728	2.55997
42	1.10293	2.45063
43	1.12858	2.34644
44	1.15423	2.19531
45	1.17988	1.97967
46	1.20553	1.79361
47	1.23118	1.61867
48	1.25683	1.4198
49	1.28248	1.30526
50	1.30813	1.17269
51	1.33378	1.0602
52	1.35943	0.948241
53	1.38508	0.904715
54	1.41073	0.816732
55	1.43638	0.770645
56	1.46203	0.746514
57	1.48768	0.730102
58	1.51333	0.683171
59	1.53898	0.664579
60	1.56463	0.632204
61	1.59028	0.645795
62	1.61593	0.673667
63	1.64158	0.678619
64	1.66723	0.702345
65	1.69288	0.677552
66	1.71853	0.711916
67	1.74418	0.761691
68	1.76983	0.788456
69	1.79547	0.849241
70	1.82112	0.900903
71	1.84677	0.92783
72	1.87242	0.977651
73	1.89807	1.01678
74	1.92372	1.04897
75	1.94937	1.09629
76	1.97502	1.12607
77	2.00067	1.15906
78	2.02632	1.20337
79	2.05197	1.2198
80	2.07762	1.26319
81	2.10327	1.2374
82	2.12892	1.20413
83	2.15457	1.17271
84	2.18022	1.16389
85	2.20587	1.15779
86	2.23152	1.14776
87	2.25717	1.10902
88	2.28282	1.09906
89	2.30847	1.0602
90	2.33412	1.02305
91	2.35977	0.985502
92	2.38542	0.972933
93	2.41107	0.969546
94	2.43672	0.947228
95	2.46237	0.916496
96	2.48802	0.904111
97	2.51366	0.875808
98	2.53931	0.874733
99	2.56496	0.874236

0	0.0256496	0
1	0.0512993	0
2	0.0769489	0
3	0.102599	0
4	0.128248	0
5	0.153898	0
6	0.179547	0
7	0.205197	0
8	0.230847	0
9	0.256496	0
10	0.282146	0
11	0.307796	0
12	0.333445	0
13	0.359095	0
14	0.384745	0
15	0.410394	0
16	0.436044	0
17	0.461694	0
18	0.487343	0
19	0.512993	0
20	0.538642	0
21	0.564292	0
22	0.589942	0
23	0.615591	0
24	0.641241	0
25	0.666891	0
26	0.69254	0
27	0.71819	0
28	0.74384	0
29	0.769489	0
30	0.795139	0
31	0.820788	0
32	0.846438	0
33	0.872088	0
34	0.897737	0.00151314
35	0.923387	0.0190113
36	0.949037	0.18496
37	0.974686	0.619952
38	1.00034	1.20859
39	1.02599	1.81397
40	1.05164	2.36649
41	1.07728	2.50211
42	1.10293	2.51919
43	1.12858	2.4265
44	1.15423	2.19247
45	1.17988	1.92193
46	1.20553	1.69674
47	1.23118	1.54219
48	1.25683	1.43192
49	1.28248	1.24367
50	1.30813	1.12739
51	1.33378	1.02446
52	1.35943	0.960933
53	1.38508	0.912533
54	1.41073	0.819415
55	1.43638	0.75888
56	1.46203	0.734871
57	1.48768	0.704317
58	1.51333	0.683075
59	1.53898	0.704276
60	1.56463	0.726965
61	1.59028	0.703531
62	1.61593	0.701723
63	1.64158	0.699951
64	1.66723	0.725959
65	1.69288	0.72078
66	1.71853	0.746943
67	1.74418	0.796729
68	1.76983	0.805403
69	1.79547	0.827252
70	1.82112	0.885683
71	1.84677	0.927328
72	1.87242	0.975938
73	1.89807	0.999209
74	1.92372	1.03192
75	1.94937	1.07198
76	1.97502	1.11371
77	2.00067	1.13678
78	2.02632	1.12936
79	2.05197	1.17854
