BIN SIZE	0.0256496
BIN	DISTANCE	AVE_GOFR
14	0.384745	0
15	0.410394	0
16	0.436044	0
17	0.461694	0
18	0.487343	0
19	0.512993	0
20	0.538642	0
21	0.564292	0
22	0.589942	0
23	0.615591	0
24	0.641241	0
25	0.666891	0
26	0.69254	0
27	0.71819	0
28	0.74384	0
29	0.769489	0
30	0.795139	0
31	0.820788	0
32	0.846438	0
33	0.872088	0
34	0.897737	0.00146728
35	0.923387	0.0226923
36	0.949037	0.162347
37	0.974686	0.566899
38	1.00034	1.23057
39	1.02599	1.86515
40	1.05164	2.34712
41	1.07728	2.56755
42	1.10293	2.55061
43	1.12858	2.42001
44	1.15423	2.18277
45	1.17988	1.96857
46	1.20553	1.74866
47	1.23118	1.54499
48	1.25683	1.37646
49	1.28248	1.22229
50	1.30813	1.11919
51	1.33378	1.01658
52	1.35943	0.946617
53	1.38508	0.867723
54	1.41073	0.810687
55	1.43638	0.777555
56	1.46203	0.727605
57	1.48768	0.711745
58	1.51333	0.689949
59	1.53898	0.678623
60	1.56463	0.681605
61	1.59028	0.676041
62	1.61593	0.67357
63	1.64158	0.697961
64	1.66723	0.711358
65	1.69288	0.732853
66	1.71853	0.759667
67	1.74418	0.780138
68	1.76983	0.820152
69	1.79547	0.859274
70	1.82112	0.901189
71	1.84677	0.94173
72	1.87242	0.97897
73	1.89807	1.02455
74	1.92372	1.05941
75	1.94937	1.08799
76	1.97502	1.12928
77	2.00067	1.15456
78	2.02632	1.18265
79	2.05197	1.19656
80	2.07762	1.20624
81	2.10327	1.20342
82	2.12892	1.19305
83	2.15457	1.18424
84	2.18022	1.16587
85	2.20587	1.15019
86	2.23152	1.11811
87	2.25717	1.0824
88	2.28282	1.06575
89	2.30847	1.04802
90	2.33412	1.01219
91	2.35977	0.990509
92	2.38542	0.9623
93	2.41107	0.958477
94	2.43672	0.936001
95	2.46237	0.924096
96	2.48802	0.915493
97	2.51366	0.898188
98	2.53931	0.888538
99	2.56496	0.891022

0	0.0256496	0
1	0.0512993	0
2	0.0769489	0
3	0.102599	0
4	0.128248	0
5	0.153898	0
6	0.179547	0
7	0.205197	0
8	0.230847	0
9	0.256496	0
10	0.282146	0
11	0.307796	0
12	0.333445	0
13	0.359095	0
14	0.384745	0
15	0.410394	0
16	0.436044	0
17	0.461694	0
18	0.487343	0
19	0.512993	0
20	0.538642	0
21	0.564292	0
22	0.589942	0
23	0.615591	0
24	0.641241	0
25	0.666891	0
26	0.69254	0
27	0.71819	0
28	0.74384	0
29	0.769489	0
30	0.795139	0
31	0.820788	0
32	0.846438	0
33	0.872088	0
34	0.897737	0.000871199
35	0.923387	0.0236883
36	0.949037	0.172875
37	0.974686	0.573147
38	1.00034	1.20038
39	1.02599	1.84385
40	1.05164	2.32546
41	1.07728	2.54562
42	1.10293	2.5539
43	1.12858	2.41289
44	1.15423	2.19989
45	1.17988	1.96696
46	1.20553	1.75386
47	1.23118	1.55897
48	1.25683	1.39136
49	1.28248	1.23753
50	1.30813	1.1141
51	1.33378	1.02372
52	1.35943	0.934835
