Step	Energy
1425	-5.15387
1426	-5.12828
1427	-5.32498
1428	-5.44847
1429	-5.45953
1430	-5.5652
1431	-5.55013
1432	-5.60197
1433	-5.6892
1434	-5.6948
1435	-5.68596
1436	-5.67406
1437	-5.67858
1438	-5.67074
1439	-5.6225
1440	-5.67021
1441	-5.49758
1442	-5.49254
1443	-5.4981
1444	-5.51526
1445	-5.48659
1446	-5.40348
1447	-5.50793
1448	-5.47485
1449	-5.51439
1450	-5.58311
1451	-5.44919
1452	-5.48272
1453	-5.47164
1454	-5.38964
1455	-5.48725
1456	-5.53328
1457	-5.5696
1458	-5.58458
1459	-5.56843
1460	-5.60005
1461	-5.63993
1462	-5.64509
1463	-5.58728
1464	-5.52892
1465	-5.48036
1466	-5.55291
1467	-5.63019
1468	-5.53513
1469	-5.46695
1470	-5.44785
1471	-5.46302
1472	-5.32536
1473	-5.382
1474	-5.31597
1475	-5.39776
1476	-5.42237
1477	-5.42838
1478	-5.43163
1479	-5.3888
1480	-5.39607
1481	-5.47095
1482	-5.42099
1483	-5.33914
1484	-5.31434
1485	-5.3647
1486	-5.2889
1487	-5.33793
1488	-5.29766
1489	-5.40928
1490	-5.46358
1491	-5.48956
1492	-5.44047
1493	-5.50258
1494	-5.55981
1495	-5.50664
1496	-5.47437
1497	-5.56233
1498	-5.50096
1499	-5.48788
1500	-5.5019
1501	-5.4388
1502	-5.42169
1503	-5.42042
1504	-5.42831
1505	-5.48611
1506	-5.51019
1507	-5.5335
1508	-5.5177
1509	-5.46325
1510	-5.53965
1511	-5.49486
1512	-5.47346
1513	-5.56338
1514	-5.62139
1515	-5.48012
1516	-5.37799
1517	-5.42115
1518	-5.5132
1519	-5.47009
1520	-5.52599
1521	-5.54983
1522	-5.48104
1523	-5.45481
1524	-5.42514
1525	-5.50095
1526	-5.52188
1527	-5.63743
1528	-5.51542
1529	-5.48714
1530	-5.57264
1531	-5.49121
1532	-5.57913
1533	-5.54566
1534	-5.48834
1535	-5.57872
1536	-5.63503
1537	-5.58225
1538	-5.56
1539	-5.54012
1540	-5.55822
1541	-5.5171
1542	-5.48505
1543	-5.47502
1544	-5.4721
1545	-5.46632
1546	-5.43412
1547	-5.40651
1548	-5.34801
1549	-5.37211
1550	-5.40912
1551	-5.36808
1552	-5.34006
1553	-5.49028
1554	-5.40466
1555	-5.4085
1556	-5.39153
1557	-5.40997
1558	-5.55358
1559	-5.50369
1560	-5.52024
1561	-5.56938
1562	-5.55985
1563	-5.56574
1564	-5.54382
1565	-5.50076
1566	-5.36663
1567	-5.34636
1568	-5.35354
1569	-5.33367
1570	-5.35377
1571	-5.3809
1572	-5.39763
1573	-5.41653
1574	-5.46316
1575	-5.40533
1576	-5.45158
1577	-5.45112
1578	-5.37865
1579	-5.34163
1580	-5.37969
1581	-5.39486
1582	-5.40533
1583	-5.23766
1584	-5.29204
1585	-5.26513
1586	-5.21875
1587	-5.27446
1588	-5.28903
1589	-5.30342
1590	-5.284
1591	-5.3154
1592	-5.3381
1593	-5.36688
1594	-5.46878
1595	-5.4451
1596	-5.35826
1597	-5.30715
1598	-5.34563
1599	-5.31177
1600	-5.31526
1601	-5.18583
1602	-5.1503
1603	-5.25848
1604	-5.20228
1605	-5.31716
1606	-5.27387
1607	-5.19391
1608	-5.26475
1609	-5.24608
1610	-5.28589
1611	-5.32621
1612	-5.38587
1613	-5.40966
1614	-5.3038
1615	-5.26926
1616	-5.3055
1617	-5.34521
1618	-5.34116
1619	-5.34997
1620	-5.33423
1621	-5.46343
1622	-5.47708
1623	-5.44261
1624	-5.45233
1625	-5.48635
1626	-5.44127
1627	-5.34135
1628	-5.42575
1629	-5.51103
1630	-5.58875
1631	-5.56197
1632	-5.60946
1633	-5.70023
1634	-5.71226
1635	-5.69059
1636	-5.68576
1637	-5.64812
1638	-5.58909
1639	-5.52603
1640	-5.43863
1641	-5.46948
1642	-5.39503
1643	-5.42277
1644	-5.39657
1645	-5.39934
1646	-5.45871
1647	-5.39858
1648	-5.40569
1649	-5.3637
1650	-5.44802
1651	-5.3608
1652	-5.39035
1653	-5.35706
1654	-5.39979
1655	-5.40261
1656	-5.38555
1657	-5.37815
1658	-5.4066
1659	-5.37795
1660	-5.28352
1661	-5.1942
1662	-5.20185
1663	-5.2809
