BIN SIZE	0.0256496
BIN	DISTANCE	AVE_GOFR	ERROR
71	1.84677	0.937932	0.00880867
72	1.87242	0.974064	0.00811623
73	1.89807	1.02083	0.0080304
74	1.92372	1.0598	0.00695737
75	1.94937	1.09948	0.00558464
76	1.97502	1.12116	0.0077004
77	2.00067	1.14728	0.00573668
78	2.02632	1.18487	0.00773216
79	2.05197	1.20583	0.00427003
80	2.07762	1.20624	0.00572097
81	2.10327	1.21975	0.00439978
82	2.12892	1.20235	0.00856195
83	2.15457	1.19618	0.00822437
84	2.18022	1.18553	0.00524544
85	2.20587	1.14639	0.00650019
86	2.23152	1.1232	0.00261663
87	2.25717	1.09042	0.00436689
88	2.28282	1.05779	0.00710503
89	2.30847	1.03306	0.00796203
90	2.33412	1.00984	0.00813488
91	2.35977	0.987789	0.00683913
92	2.38542	0.965257	0.00344573
93	2.41107	0.939684	0.00459524
94	2.43672	0.922288	0.00517291
95	2.46237	0.912323	0.00656115
