INITIAL DISTRIBUTION	DELTA
BIN SIZE	0.188562
BIN	VMIN	VMAX	AVE	PROG_AVE_POFV	ERROR
9	1.88562	2.07418	8.628	9.48157	0.68086
10	2.07418	2.26274	10.449	7.29947	0.588082
11	2.26274	2.4513	5.1105	4.82193	0.507137
12	2.4513	2.63987	4.517	3.26657	0.31698
13	2.63987	2.82843	1.747	1.88373	0.176768
14	2.82843	3.01699	2.224	1.47563	0.209718
15	3.01699	3.20555	0.737	0.539633	0.0785377
16	3.20555	3.39411	0.2995	0.266633	0.0520555
17	3.39411	3.58267	0.4025	0.179533	0.0483801
18	3.58267	3.77124	0.132	0.073	0.0226261
19	3.77124	3.9598	0	0.110667	0.0535771
20	3.9598	4.14836	0	0.0298333	0.0141661
21	4.14836	4.33692	0	0.00806667	0.00627692
22	4.33692	4.52548	0	0.0083	0.00801856
23	4.52548	4.71405	0	0	0
24	4.71405	4.90261	0	0	0
25	4.90261	5.09117	0	0	0
26	5.09117	5.27973	0	0	0
27	5.27973	5.46829	0	0	0
28	5.46829	5.65685	0	0	0
29	5.65685	5.84542	0	0	0

0	0.188562	0.377124	1.08	1.29234	0.18389
1	0.377124	0.565685	2.3825	2.72694	0.280937
2	0.565685	0.754247	6.304	5.60837	0.535714
3	0.754247	0.942809	8.271	6.58047	0.563018
4	0.942809	1.13137	11.4845	9.63759	0.675132
5	1.13137	1.31993	12.873	11.0785	0.733576
6	1.31993	1.50849	11.6685	17.5174	4.24209
7	1.50849	1.69706	11.425	12.8818	0.905188
8	1.69706	1.88562	8.355	10.6704	0.466891
9	1.88562	2.07418	9.654	9.49234	0.638392
10	2.07418	2.26274	8.329	7.36381	0.554836
11	2.26274	2.4513	7.55	4.99244	0.503288
12	2.4513	2.63987	4.047	3.31534	0.300898
13	2.63987	2.82843	1.922	1.88613	0.165736
14	2.82843	3.01699	1.7455	1.4925	0.197288
15	3.01699	3.20555	0.4215	0.53225	0.0739753
16	3.20555	3.39411	0.1605	0.26	0.0492228
17	3.39411	3.58267	0.0705	0.172719	0.0458338
18	3.58267	3.77124	0.1285	0.0764688	0.0214762
19	3.77124	3.9598	0	0.10375	0.050673
20	3.9598	4.14836	0	0.0279688	0.0134029
21	4.14836	4.33692	0	0.0075625	0.00590482
22	4.33692	4.52548	0	0.00778125	0.00753416
23	4.52548	4.71405	0	0	0
24	4.71405	4.90261	0	0	0
25	4.90261	5.09117	0	0	0
26	5.09117	5.27973	0	0	0
27	5.27973	5.46829	0	0	0
28	5.46829	5.65685	0	0	0
29	5.65685	5.84542	0	0	0

0	0.188562	0.377124	1.187	1.28615	0.173177
1	0.377124	0.565685	2.0245	2.68562	0.267432
2	0.565685	0.754247	4.9575	5.57009	0.505568
3	0.754247	0.942809	7.0875	6.61029	0.530689
4	0.942809	1.13137	8.763	9.58615	0.637376
5	1.13137	1.31993	14.2675	11.2661	0.714006
6	1.31993	1.50849	12.8535	17.2431	4.00142
7	1.50849	1.69706	12.74	12.8734	0.85198
8	1.69706	1.88562	11.659	10.7285	0.443033
9	1.88562	2.07418	9.27	9.47926	0.600973
10	2.07418	2.26274	7.609	7.37824	0.522386
11	2.26274	2.4513	5.1935	5.00426	0.473822
12	2.4513	2.63987	3.696	3.33774	0.28403
13	2.63987	2.82843	2.603	1.92829	0.161262
14	2.82843	3.01699	1.5305	1.49474	0.185696
15	3.01699	3.20555	0.854	0.551176	0.0720043
16	3.20555	3.39411	0.5445	0.276735	0.0490899
17	3.39411	3.58267	0.4665	0.19	0.0462811
18	3.58267	3.77124	0.12	0.0790294	0.020365
19	3.77124	3.9598	0.3005	0.115324	0.0489961
20	3.9598	4.14836	0.1085	0.0327059	0.0134256
21	4.14836	4.33692	0.1245	0.0144412	0.00868438
22	4.33692	4.52548	0.04	0.00967647	0.00732547
23	4.52548	4.71405	0	0	0
24	4.71405	4.90261	0	0	0
25	4.90261	5.09117	0	0	0
26	5.09117	5.27973	0	0	0
27	5.27973	5.46829	0	0	0
28	5.46829	5.65685	0	0	0
29	5.65685	5.84542	0	0	0

0	0.188562	0.377124	0.086	1.21947	0.175924
1	0.377124	0.565685	0.6125	2.57044	0.276265
2	0.565685	0.754247	5.5325	5.568	0.477485
3	0.754247	0.942809	9.47	6.76917	0.524448
4	0.942809	1.13137	12.1785	9.73017	0.618023
5	1.13137	1.31993	12.47	11.333	0.677464
6	1.31993	1.50849	14.147	17.0711	3.78282
7	1.50849	1.69706	11.602	12.8028	0.80757
8	1.69706	1.88562	9.6595	10.6691	0.422383
9	1.88562	2.07418	9.888	9.50197	0.568015
10	2.07418	2.26274	6.645	7.3375	0.49495
11	2.26274	2.4513	4.1295	4.95567	0.449984
12	2.4513	2.63987	4.8455	3.4215	0.28033
13	2.63987	2.82843	2.6055	1.96592	0.15663
14	2.82843	3.01699	1.6265	1.50206	0.175523
15	3.01699	3.20555	1.0365	0.578139	0.0728775
16	3.20555	3.39411	0.2505	0.275278	0.0463843
17	3.39411	3.58267	0.5045	0.207472	0.0468921
18	3.58267	3.77124	0.519	0.103472	0.0305645
19	3.77124	3.9598	0.019	0.109972	0.0465654
20	3.9598	4.14836	0.0035	0.0310833	0.0127774
21	4.14836	4.33692	0.144	0.0216389	0.0107796
22	4.33692	4.52548	0.022	0.0103611	0.00695042
23	4.52548	4.71405	0	0	0
24	4.71405	4.90261	0	0	0
25	4.90261	5.09117	0	0	0
26	5.09117	5.27973	0	0	0
27	5.27973	5.46829	0	0	0
28	5.46829	5.65685	0	0	0
29	5.65685	5.84542	0	0	0

0	0.188562	0.377124	0.611	1.18745	0.169555
1	0.377124	0.565685	2.4305	2.56308	0.261823
2	0.565685	0.754247	4.6325	5.51876	0.454886
3	0.754247	0.942809	10.977	6.99063	0.541591
4	0.942809	1.13137	11.4425	9.82029	0.59203
5	1.13137	1.31993	11.7905	11.3571	0.642236
